Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
01/01/2017,ANTIOQUIA,MEDELLÍN (CT),Domingo,0:00:00,CASTILLA C-5,URBANA,VIAS PUBLICAS,LLAMADA TELEFONICA,A PIE,A PIE,28,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"5,001,000",1
01/01/2017,ANTIOQUIA,MEDELLÍN (CT),Domingo,0:00:00,MIRANDA  C-4,URBANA,VIAS PUBLICAS,DIRECTA,A PIE,A PIE,21,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"5,001,000",1
01/01/2017,ARAUCA,SARAVENA,Domingo,9:00:00,SANTANDER,URBANA,CASAS DE HABITACION,REDES SOCIALES,A PIE,A PIE,22,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,TECNICO,"81,736,000",1
01/01/2017,ATLÁNTICO,MALAMBO,Domingo,8:00:00,MEZOLANDIA,URBANA,CASAS DE HABITACION,DIRECTA,A PIE,A PIE,66,FEMENINO,CASADO,COLOMBIA,AMA DE CASA,-,SECUNDARIA,"8,433,000",1
01/01/2017,CUNDINAMARCA,ZIPAQUIRÁ,Domingo,9:00:00,SAN JUANITO,URBANA,SECTOR COMERCIO,DIRECTA,A PIE,CONDUCTOR VEHICULO,24,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"25,899,000",1
01/01/2017,GUAJIRA,MAICAO,Domingo,2:00:00,CENTRO,URBANA,VIAS PUBLICAS,DIRECTA,A PIE,A PIE,27,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,-,SECUNDARIA,"44,430,000",1
01/01/2017,MAGDALENA,SANTA MARTA (CT),Domingo,12:48:00,MANZANARES,URBANA,VIAS PUBLICAS,DIRECTA,A PIE,A PIE,23,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"47,001,000",1
01/01/2017,META,LA MACARENA,Domingo,8:01:00,CENTRO,URBANA,VIAS PUBLICAS,CARTA EXTORSIVA,A PIE,A PIE,,-,-,-,-,-,-,"50,350,000",1
01/01/2017,META,VILLAVICENCIO (CT),Domingo,8:00:00,CENTRO,URBANA,VIAS PUBLICAS,MIXTA,A PIE,A PIE,44,FEMENINO,SOLTERO,COLOMBIA,COMERCIANTE,-,SECUNDARIA,"50,001,000",1
01/01/2017,NORTE DE SANTANDER,VILLA DEL ROSARIO,Domingo,11:45:00,CORREGIMIENTO LA PARADA,URBANA,CASAS DE HABITACION,DIRECTA,A PIE,A PIE,39,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,-,PRIMARIA,"54,874,000",1
